No_Pelajar,Kod_Kursus_Pelajar,Semester_Pelajar,Jantina,Kod_Negeri_Pelajar,CGPA,GPA,Has_Award,Total_Credit_Taken,Avg_Subjek_Attendance,Avg_Subjek_Marks,Total_Dropped,Total_Failed,Total_Koko,PLO_1,PLO_2,PLO_3,PLO_4,PLO_5,PLO_6,PLO_7,PLO_8,PLO_9,Source_File,Status_Pelajar
333571240105,ITW,6,L,T,3.7,3.85,False,94,89.47368421052632,86.02631578947368,0,0,0,78.08,82.6042856,87.15826052173912,86.8969994,88.663750125,83.36111111111111,80.55111144444444,87.79857200000001,89.92666633333333,JJ2025,Sederhana
333571240118,ITW,6,L,M,3.29,3.2,False,94,89.05263157894737,80.05263157894737,0,0,0,67.14,77.60228574285713,78.70695691304348,79.3410004,84.015000375,76.99000044444443,71.897778,79.89571385714285,77.52333333333333,JJ2025,Sederhana
333571240121,ITW,6,L,T,3.3,3.35,False,94,89.3157894736842,80.42105263157895,0,0,0,62.22,79.0931429142857,78.94086986956522,80.8630005,87.88125037500001,78.92777755555556,70.62777833333332,84.19714242857142,83.35666666666667,JJ2025,Sederhana
333571240134,ITW,6,L,D,3.36,3.7,False,94,89.47368421052632,81.60526315789474,0,0,0,62.2,81.27714297142856,84.66260830434783,82.7500008,86.9993753125,75.84444422222222,66.80888866666666,85.00000057142857,85.37333433333333,JJ2025,Sederhana
333571240147,ITW,6,L,D,3.2,2.8,False,94,88.78947368421052,77.15789473684211,0,0,0,67.82,70.59714265714285,77.47826113043479,68.8330002,76.5,70.69444444444444,72.897778,68.57142857142857,73.52333333333333,JJ2025,Sederhana
333571240150,ITW,6,L,T,3.73,4.0,False,94,88.97368421052632,86.1842105263158,0,0,0,79.4,82.53942868571428,87.04217352173913,86.0879996,90.0250000625,82.897778,72.33888922222224,85.25000057142857,85.79333233333334,JJ2025,Sederhana
333571240163,ITW,6,L,D,3.45,3.85,False,94,89.05263157894737,82.71052631578948,0,0,0,69.16,80.28285717142857,86.69565213043478,83.7800003,82.13125037500001,79.94444444444444,69.2433331111111,86.874285,78.83999899999999,JJ2025,Sederhana
333571240189,ITW,6,L,B,3.74,3.85,False,94,89.3157894736842,88.10526315789474,0,0,0,86.72,80.26571414285714,90.17652191304347,93.8809998,92.9393749375,83.9066671111111,85.52555588888889,89.69571471428571,84.093333,JJ2025,Sederhana
333571240192,ITW,6,L,C,3.23,2.65,False,94,88.63157894736842,80.05263157894737,0,0,0,67.82,77.30200017142857,77.72130417391304,79.43499990000001,87.00562475,80.13888888888889,71.74555544444445,80.51999985714285,77.69,JJ2025,Sederhana
333571240215,ITW,6,L,T,3.82,3.85,False,94,89.3157894736842,87.84210526315789,0,0,0,82.28,83.34971405714285,90.88130447826089,90.4899995,90.88625,83.16666666666667,84.49777811111112,85.4399992857143,78.42666633333333,JJ2025,Sederhana
333571240228,ITW,6,L,D,3.7,3.85,False,94,88.92105263157895,85.21052631578948,0,0,0,74.74,85.39457154285714,86.89521747826086,84.57800069999999,84.9206249375,79.89999977777778,75.06333322222223,85.86857214285715,82.29333233333334,JJ2025,Sederhana
333571240231,ITW,5,L,D,3.58,3.5,False,60,92.85714285714286,84.71428571428571,0,0,0,72.36842105263158,84.425937125,82.89400020000001,76.721667,86.16666666666667,83.75,68.541999,69.465,86.5,JJ2025,Sederhana
333571240244,ITW,6,L,D,3.5,3.5,False,94,88.94736842105263,83.05263157894737,0,0,0,72.4,81.17028594285715,84.02652204347827,83.1340004,85.017500375,76.28888866666667,69.81444466666667,87.10714285714286,76.62666566666667,JJ2025,Sederhana
333571240257,ITW,6,L,T,3.52,3.65,False,94,89.47368421052632,83.47368421052632,0,0,0,70.82,80.33028594285715,86.08391273913044,86.55700060000001,88.104374875,79.97222222222223,74.106667,88.30999985714286,86.75999966666666,JJ2025,Sederhana
333571240260,ITW,6,L,D,3.63,3.65,False,94,89.3157894736842,84.63157894736842,0,0,0,73.34,83.57942851428571,85.36478330434782,82.307,88.666874875,82.13888888888889,71.90444433333333,87.57285628571428,79.67333233333333,JJ2025,Sederhana
333571240273,ITW,6,L,T,3.2,3.0,False,94,89.34210526315789,79.60526315789474,0,0,0,63.59200012,77.21114305714286,80.45173934782609,78.6949997,84.490625375,77.06666644444445,69.33222277777777,83.50857157142858,78.70666766666666,JJ2025,Sederhana
333571240286,DFK,6,L,D,3.27,0.0,False,94,91.38888888888889,78.52777777777777,0,0,0,67.18454545454546,81.52972948648649,76.9384207368421,80.51588258823529,81.03176476470588,81.44666646666666,85.285,78.10727272727273,86.0,JJ2025,Sederhana
333571240406,DFK,6,P,T,3.32,0.0,False,94,91.66666666666669,80.05555555555556,0,0,0,67.0857576060606,80.16135116216216,75.12684189473684,87.98705870588235,90.24470611764708,86.44666646666666,90.285,79.60272709090908,87.25,JJ2025,Sederhana
